Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/12H5OJ94iSaoe5yOwkJnUuSHpRc0nA0GR1Tm7_FBzbLM/export?format=csv

---

id,TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,condition,availability,root links,item_group_id,shape,length,additional_variant_attribute,additional_image_link,fb_product_category
JUICEGELS-0021,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0021.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0021?shape=Oval&length=Long,Juicegels_StellarShineSet,Oval,Long,Shape:Oval,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0022,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0022.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0022?shape=Stiletto&length=Short,Juicegels_StellarShineSet,Stiletto,Short,Shape:Stiletto,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0023,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0023.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0023?shape=Stiletto&length=Medium,Juicegels_StellarShineSet,Stiletto,Medium,Shape:Stiletto,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0024,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0024.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0024?shape=Stiletto&length=Long,Juicegels_StellarShineSet,Stiletto,Long,Shape:Stiletto,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0025,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0025.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0025?shape=Coffin&length=Short,Juicegels_StellarShineSet,Coffin,Short,Shape:Coffin,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0026,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0026.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0026?shape=Coffin&length=Medium,Juicegels_StellarShineSet,Coffin,Medium,Shape:Coffin,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0027,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0027.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0027?shape=Coffin&length=Long,Juicegels_StellarShineSet,Coffin,Long,Shape:Coffin,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0028,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0028.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0028?shape=Almond&length=Short,Juicegels_StellarShineSet,Almond,Short,Shape:Almond,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0029,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0029.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0029?shape=Almond&length=Medium,Juicegels_StellarShineSet,Almond,Medium,Shape:Almond,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0030,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0030.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0030?shape=Almond&length=Long,Juicegels_StellarShineSet,Almond,Long,Shape:Almond,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
