id,TITLE,META_TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,condition,availability,root links,item_group_id,shape,length
JUICEGELS-0021,Stellar Shine Set,Stellar Shine Set - Oval,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0021_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0021?shape=Oval&length=Long,Juicegels_StellarShineSet_Oval,Oval,Long
JUICEGELS-0022,Stellar Shine Set,Stellar Shine Set - Stiletto,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0022_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0022?shape=Stiletto&length=Short,Juicegels_StellarShineSet_Stiletto,Stiletto,Short
JUICEGELS-0023,Stellar Shine Set,Stellar Shine Set - Stiletto,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0023_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0023?shape=Stiletto&length=Medium,Juicegels_StellarShineSet_Stiletto,Stiletto,Medium
JUICEGELS-0024,Stellar Shine Set,Stellar Shine Set - Stiletto,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0024_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0024?shape=Stiletto&length=Long,Juicegels_StellarShineSet_Stiletto,Stiletto,Long
JUICEGELS-0025,Stellar Shine Set,Stellar Shine Set - Coffin,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0025_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0025?shape=Coffin&length=Short,Juicegels_StellarShineSet_Coffin,Coffin,Short
JUICEGELS-0026,Stellar Shine Set,Stellar Shine Set - Coffin,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0026_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0026?shape=Coffin&length=Medium,Juicegels_StellarShineSet_Coffin,Coffin,Medium
JUICEGELS-0027,Stellar Shine Set,Stellar Shine Set - Coffin,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0027_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0027?shape=Coffin&length=Long,Juicegels_StellarShineSet_Coffin,Coffin,Long
JUICEGELS-0028,Stellar Shine Set,Stellar Shine Set - Almond,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0028_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0028?shape=Almond&length=Short,Juicegels_StellarShineSet_Almond,Almond,Short
JUICEGELS-0029,Stellar Shine Set,Stellar Shine Set - Almond,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0029_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0029?shape=Almond&length=Medium,Juicegels_StellarShineSet_Almond,Almond,Medium
JUICEGELS-0030,Stellar Shine Set,Stellar Shine Set - Almond,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0030_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0030?shape=Almond&length=Long,Juicegels_StellarShineSet_Almond,Almond,Long
